<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160622,130000,135.0300000,135.2000000,134.1700000,134.6500000,3507240
SBER,60,20160622,140000,134.6900000,134.7500000,134.1000000,134.4900000,2023180
SBER,60,20160622,150000,134.4900000,134.9900000,134.0300000,134.1900000,2979950
SBER,60,20160622,160000,134.2300000,134.9800000,133.8200000,134.7100000,4278000
SBER,60,20160622,170000,134.6900000,135.7900000,134.5900000,134.9900000,8046960
SBER,60,20160622,180000,134.9800000,135.1200000,134.3700000,134.8100000,4758360
SBER,60,20160623,100000,134.4200000,135.7700000,133.8900000,135.4600000,10883720
SBER,60,20160623,110000,135.4900000,136.6700000,135.4000000,136.5500000,8343590
SBER,60,20160623,120000,136.5400000,137.4800000,136.5400000,137.4400000,8243750
SBER,60,20160623,130000,137.4600000,138.0000000,137.4600000,137.8300000,6036960
SBER,60,20160623,140000,137.7500000,138.2800000,137.6000000,137.7600000,3887740
SBER,60,20160623,150000,137.7600000,138.0000000,137.1200000,137.9100000,2883190
SBER,60,20160623,160000,137.9200000,137.9800000,137.0500000,137.7900000,3900760
SBER,60,20160623,170000,137.7800000,137.8700000,137.0000000,137.4500000,3535940
SBER,60,20160623,180000,137.4600000,138.1000000,137.4600000,138.0000000,7414710
SBER,60,20160624,100000,131.5000000,132.7400000,129.1200000,131.1100000,39449450
SBER,60,20160624,110000,131.1600000,132.6400000,130.8200000,131.8000000,16081670
SBER,60,20160624,120000,131.8000000,133.2000000,131.5000000,132.1400000,11145500
SBER,60,20160624,130000,132.1400000,132.3900000,131.6800000,131.9100000,6955510
SBER,60,20160624,140000,131.9100000,132.5500000,131.6000000,132.4200000,4304070
SBER,60,20160624,150000,132.4600000,133.5000000,132.0200000,133.1300000,7889690
SBER,60,20160624,160000,133.1300000,133.2100000,132.1700000,132.4300000,9494410
SBER,60,20160624,170000,132.4200000,132.8900000,132.0500000,132.2700000,6191580
SBER,60,20160624,180000,132.3000000,133.4000000,132.1900000,133.4000000,5372820
SBER,60,20160627,100000,133.9000000,134.8300000,133.6700000,133.7900000,13554010
SBER,60,20160627,110000,133.7500000,133.7900000,131.9400000,132.4700000,11340140
SBER,60,20160627,120000,132.4300000,132.9700000,131.2600000,131.6600000,8470330
SBER,60,20160627,130000,131.7000000,132.2200000,131.0000000,131.3000000,5087330
SBER,60,20160627,140000,131.3300000,131.4100000,130.1300000,130.4500000,8786910
SBER,60,20160627,150000,130.4500000,130.6900000,128.1900000,128.4600000,14638130
SBER,60,20160627,160000,128.4300000,129.1900000,126.7100000,127.3000000,22694000
SBER,60,20160627,170000,127.2600000,127.8900000,126.9200000,127.4200000,8604590
SBER,60,20160627,180000,127.4800000,127.8000000,125.3500000,126.2000000,24224450
SBER,60,20160628,100000,127.8500000,128.8500000,126.5100000,126.9000000,25913640
SBER,60,20160628,110000,126.9000000,128.0000000,126.5000000,126.5200000,9876460
SBER,60,20160628,120000,126.5200000,127.8000000,125.7000000,127.8000000,10371090
SBER,60,20160628,130000,127.8000000,129.0000000,127.6000000,128.3700000,11513160
SBER,60,20160628,140000,128.3800000,128.8000000,127.8000000,128.7700000,4612140
SBER,60,20160628,150000,128.7700000,129.1800000,128.3000000,128.9400000,6022150
SBER,60,20160628,160000,128.9100000,129.7100000,128.4100000,129.4300000,7321170
SBER,60,20160628,170000,129.4600000,129.6300000,129.0300000,129.2800000,9178890
SBER,60,20160628,180000,129.3000000,129.5700000,129.2400000,129.5700000,6385340
SBER,60,20160629,100000,130.6400000,131.4800000,130.5500000,130.6300000,12028520
SBER,60,20160629,110000,130.6300000,132.0800000,129.8200000,131.8700000,12201940
SBER,60,20160629,120000,131.8800000,132.1800000,131.5400000,131.7800000,4361620
SBER,60,20160629,130000,131.8000000,132.0800000,131.8000000,131.9200000,2839760
SBER,60,20160629,140000,131.9100000,132.5800000,131.8100000,132.2600000,8312550
SBER,60,20160629,150000,132.2800000,132.8200000,132.2700000,132.7500000,4543120
SBER,60,20160629,160000,132.7200000,133.1600000,132.3600000,133.1200000,7642120
SBER,60,20160629,170000,133.1000000,133.4700000,132.7100000,133.3700000,8509640
SBER,60,20160629,180000,133.3700000,133.9500000,133.3100000,133.8800000,6672320
SBER,60,20160630,100000,133.6500000,133.9800000,132.8100000,133.6900000,11289910
SBER,60,20160630,110000,133.7000000,135.3400000,132.5500000,133.0400000,20572330
SBER,60,20160630,120000,133.0100000,133.2100000,132.4100000,132.9400000,7342320
SBER,60,20160630,130000,132.9400000,133.0200000,131.5000000,132.2100000,11131020
SBER,60,20160630,140000,132.2100000,132.4000000,131.3100000,131.3800000,5294120
SBER,60,20160630,150000,131.3800000,131.9100000,131.1400000,131.4700000,8082720
SBER,60,20160630,160000,131.4700000,132.9400000,131.4200000,132.7500000,6070130
SBER,60,20160630,170000,132.7600000,134.3400000,132.3800000,134.3300000,8621120
SBER,60,20160630,180000,134.3100000,134.4500000,133.0000000,133.0000000,8527270
SBER,60,20160701,100000,133.3300000,133.7500000,132.4500000,133.2500000,9206240
SBER,60,20160701,110000,133.2900000,133.8900000,132.5500000,132.6400000,4814430
SBER,60,20160701,120000,132.6200000,132.6200000,131.5500000,131.9000000,8407320
SBER,60,20160701,130000,131.9200000,132.1000000,131.6900000,131.9100000,2016170
SBER,60,20160701,140000,131.9200000,132.9500000,131.7400000,132.9500000,8759440
SBER,60,20160701,150000,132.9500000,133.5000000,132.5700000,132.6200000,9129510
SBER,60,20160701,160000,132.6200000,133.5000000,132.6100000,133.2300000,4800980
SBER,60,20160701,170000,133.2600000,134.3400000,133.2600000,133.7600000,12234340
SBER,60,20160701,180000,133.7300000,133.8500000,133.3000000,133.8500000,5151490
SBER,60,20160704,100000,134.6500000,135.8400000,134.4100000,134.8200000,11978920
SBER,60,20160704,110000,134.8500000,135.4800000,134.1300000,135.1400000,7377430
SBER,60,20160704,120000,135.1400000,135.2600000,134.5900000,134.9600000,2818280
SBER,60,20160704,130000,134.9500000,135.1400000,134.3300000,134.5500000,2435570
